Case Number,Case Title,Requesting Court,Topics,Judgment ECLI,Judgment CELEX,Has AG Opinion,AG Opinion Title,AG Opinion ECLI,Has Summary,Summary CELEX
Joined Cases C-870/19 and C-871/19,Joined Cases C-870/19 and C-871/19 Prefettura Ufficio territoriale del governo di Firenze v MI and TB,,Reference for a preliminary ruling – Approximation of laws – Recording equipment in road transport – Regulation (EEC) No 3821/85 – Article 15(7) – Regulation (EC) No 561/2006 – Control proceedings – Administrative penalty – Failure to produce the record sheets for the tachograph relating to the current day and the previous 28 days – Single or multiple infringement,ECLI:EU:C:2021:233,62019CJ0870,No,,,Yes,62019CJ0870_SUM
Case C-950/19,Case C-950/19 Proceedings brought by  A,Request for a preliminary ruling from the Helsingin hallinto-oikeus,Reference for a preliminary ruling – Company law – Directive 2006/43/EC – Statutory audit of annual and consolidated accounts – Article 22a(1)(a) – Recruitment of a statutory auditor by an audited entity – Waiting period – Prohibition on taking up a key management post in the audited entity – Infringement – Gravity and duration of the infringement – Expression ‘taking up a post’ – Scope – Conclusion of an employment contract with the audited entity – Independence of statutory auditors – External appearance,ECLI:EU:C:2021:230,62019CJ0950,Yes,Opinion of Advocate General Campos Sánchez-Bordona delivered on 10 December 2020,ECLI:EU:C:2020:1019,Yes,62019CJ0950_SUM
Case C-603/20 PPU,Case C-603/20 PPU SS v MCP,"Request for a preliminary ruling from the High Court of Justice (England and Wales), Family Division","Reference for a preliminary ruling – Urgent preliminary ruling procedure – Area of freedom, security and justice – Judicial cooperation in civil matters – Regulation (EC) No 2201/2003 – Article 10 – Jurisdiction in matters of parental responsibility – Abduction of a child – Jurisdiction of the courts of a Member State – Territorial scope – Removal of a child to a third State – Habitual residence acquired in that third State",ECLI:EU:C:2021:231,62020CJ0603,Yes,Opinion of Advocate General Rantos delivered on 23 February 2021,ECLI:EU:C:2021:126,Yes,62020CJ0603_SUM
Case C-591/16 P,Case C-591/16 P Lundbeck v Commission,,,ECLI:EU:C:2021:243,62016CJ0591,No,,,Yes,62016CJ0591_SUM
Case C-611/16 P,Case C-611/16 P Xellia Pharmaceuticals and Alpharma v Commission,,,ECLI:EU:C:2021:245,62016CJ0611,No,,,Yes,62016CJ0611_SUM
Case C-501/18,Case C-501/18 BT v Balgarska Narodna Banka,Request for a preliminary ruling from the Administrativen sad Sofia-grad,"Reference for a preliminary ruling – Deposit-guarantee schemes – Directive 94/19/EC – Article 1(3)(i) – Article 7(6) – Article 10(1) – Concept of ‘unavailable deposit’ – Determination of unavailability of deposits – Competent authority – Depositor’s rights to compensation – Contractual clause contrary to Directive 94/19 – Principle of primacy of Union law – European System of Financial Supervision – European Banking Authority (EBA) – Regulation (EU) No 1093/2010 – Article 1(2) – Article 4(2)(iii) – Article 17(3) – EBA recommendation to a national banking authority on measures to comply with Directive 94/19 – Legal effects – Validity – Reorganisation and winding up of credit institutions – Directive 2001/24/EC – Article 2, seventh indent – Concept of ‘reorganisation measures’ – Compatibility with Article 17(1) and Article 52(1) of the Charter of Fundamental Rights of the European Union – Liability of Member States for breach of Union law – Conditions – Sufficiently serious breach of EU law – Procedural autonomy of Member States – Principle of sincere cooperation – Article 4(3) TEU – Principles of equivalence and effectiveness",ECLI:EU:C:2021:249,62018CJ0501,Yes,Opinion of Advocate General Campos Sánchez-Bordona delivered on 17 September 2020,ECLI:EU:C:2020:729,Yes,62018CJ0501_SUM
Case C-152/19 P,Case C-152/19 P Deutsche Telekom v Commission,,,ECLI:EU:C:2021:238,62019CJ0152,Yes,Opinion of Advocate General Saugmandsgaard Øe delivered on 9 September 2020,ECLI:EU:C:2020:678,Yes,62019CJ0152_SUM
Case C-165/19 P,Case C-165/19 P Slovak Telekom v Commission,,,ECLI:EU:C:2021:239,62019CJ0165,Yes,Opinion of Advocate General Saugmandsgaard Øe delivered on 9 September 2020,ECLI:EU:C:2020:678,Yes,62019CJ0165_SUM
Case C-307/19,Case C-307/19 Obala i lučice v NLB Leasing,Request for a preliminary ruling from the Visoki trgovački sud Republike Hrvatske,Reference for a preliminary ruling – Applicable law – Regulation (EC) No 864/2007 and Regulation (EC) No 593/2008 – Scope ratione temporis – Lack of jurisdiction of the Court – Article 94 of the Rules of Procedure of the Court – Judicial cooperation in civil matters – Regulation (EU) No 1215/2012 – Article 1(1) – Substantive scope – Concept of ‘civil and commercial matters’ – Article 7(1) – Concepts of ‘matters relating to a contract’ and ‘provision of services’ – Article 24(1) – Concept of ‘tenancies of immovable property’ – Regulation (EC) No 1393/2007 – Service of judicial and extrajudicial documents – Notaries acting in enforcement proceedings – Proceedings for the recovery of a debt relating to a daily parking ticket for a vehicle parked on the public highway,ECLI:EU:C:2021:236,62019CJ0307,Yes,Opinion of Advocate General Bobek delivered on 26 November 2020,ECLI:EU:C:2020:971,Yes,62019CJ0307_SUM
Joined Cases C-517/19 P and C-518/19 P,Joined Cases C-517/19 P and C-518/19 P Alvarez y Bejarano and Others v Commission,,,ECLI:EU:C:2021:240,62019CJ0517,Yes,Opinion of Advocate General Pikamäe delivered on 21 October 2020,ECLI:EU:C:2020:848,Yes,62019CJ0517_SUM
Case C-907/19,Case C-907/19 Q-GmbH v Finanzamt Z (Special risk insurance),Request for a preliminary ruling from the Bundesfinanzhof,"Reference for a preliminary ruling – Directive 2006/112/EC – Value added tax (VAT) – Exemptions – Article 135(1)(a) – Insurance transactions and related services performed by insurance brokers and insurance agents – Service supplied for an insurer, comprising different services – Categorisation as a single supply",ECLI:EU:C:2021:237,62019CJ0907,No,,,Yes,62019CJ0907_SUM
Case C-92/21,Case C-92/21 VW v Fedasil,Request for a preliminary ruling from the Tribunal du travail de Liège,"Reference for a preliminary ruling – Article 99 of the Rules of Procedure of the Court – Border controls, asylum and immigration – Asylum policy – Criteria and mechanisms for determining the Member State responsible for examining an application for international protection – Regulation (EU) No 604/2013 (Dublin III) – Article 27 – Remedies against a transfer decision – Suspensive effect of the remedy – Article 29 – Modalities and time limits for transfers – Standards for the reception of applicants for international protection – Directive 2013/33/EU – Article 18 – National measure allocating to an applicant in respect of whom a transfer decision has been made a place in a specialised reception facility where those accommodated receive support in preparing to be transferred",,,No,,,Yes,62021CO0092_SUM
Case C-134/21,Case C-134/21 EV v Fedasil,Request for a preliminary ruling from the Tribunal du travail de Liège,"Reference for a preliminary ruling – Article 99 of the Rules of Procedure of the Court – Border controls, asylum and immigration – Asylum policy – Criteria and mechanisms for determining the Member State responsible for examining an application for international protection – Regulation (EU) No 604/2013 (Dublin III) – Article 27 – Remedies against a transfer decision – Suspensive effect of the remedy – Article 29 – Modalities and time limits for transfers – Standards for the reception of applicants for international protection – Directive 2013/33/EU – Article 18 – National measure allocating to an applicant in respect of whom a transfer decision has been made a place in a specialised reception facility where those accommodated receive support in preparing to be transferred",,,No,,,Yes,62021CO0134_SUM
Case C-13/19,Case C-13/19 Ibercaja Banco v TJ and UK,,,,,No,,,No,
Case C-523/20,Case C-523/20 Koppány 2007 v Vas Megyei Kormányhivatal,,Reference for a preliminary ruling – Article 99 of the Rules of Procedure of the Court of Justice – Social security – Regulation (EU) No 1231/2010 – Applicable legislation – A1 certificate – Article 1 – Extension of A1 certificate to nationals of third countries residing legally in the territory of a Member State – Legal residence – Concept,,,No,,,No,
Case C-514/18 P-DEP,Case C-514/18 P-DEP Schmid v Landeskammer für Land- und Forstwirtschaft in Steiermark,,,,,No,,,No,
Case C-664/18,Case C-664/18 Commission v United Kingdom (Limit values − NO2),,,ECLI:EU:C:2021:171,,No,,,No,
Case C-399/20 P,Case C-399/20 P XH v Commission,,,,,No,,,No,
Case C-557/20,Case C-557/20 Criminal proceedings against DS (Equine hoof care),,Reference for a preliminary ruling – Article 53(2) of the Rules of Procedure of the Court of Justice – National legislation reserving the activity of a farriery solely to those with a diploma in farriery – Compatibility with Articles 101 to 106 TFEU – Insufficient information on the factual and legislative context of the main proceedings and on the reasons why the answer to the question referred for a preliminary ruling is necessary – Manifest inadmissibility,,,No,,,No,
Case C-667/20 P,Case C-667/20 P Laboratorios Ern v EUIPO,,,,,No,,,No,
Case C-678/20 P,Case C-678/20 P Laboratorios Ern v EUIPO,,,,,No,,,No,
Case C-639/20 P,Case C-639/20 P CEDC International v EUIPO,,,,,No,,,No,
Case C-681/20 P,Case C-681/20 P smart things solutions v EUIPO,,,,,No,,,No,
Case C-586/16 P,Case C-586/16 P Sun Pharmaceutical Industries and Ranbaxy (UK) v Commission,,,ECLI:EU:C:2021:241,,No,,,No,
Case C-588/16 P,Case C-588/16 P Generics (UK) v Commission,,,ECLI:EU:C:2021:242,,No,,,No,
Case C-601/16 P,Case C-601/16 P Arrow Group and Arrow Generics v Commission,,,ECLI:EU:C:2021:244,,No,,,No,
Case C-614/16 P,Case C-614/16 P Merck v Commission,,,ECLI:EU:C:2021:246,,No,,,No,
Case C-565/19 P,Case C-565/19 P Carvalho and Others v Parliament and Council,,,ECLI:EU:C:2021:252,,No,,,No,
Case C-856/19,Case C-856/19 Commission v Hungary (Excise duty on cigarettes),,,ECLI:EU:C:2021:253,,No,,,No,
Case C-503/20,Case C-503/20 Banco Santander v YC,,,,,No,,,No,
Case C-722/20 P,Case C-722/20 P Ultrasun v EUIPO,,,,,No,,,No,
Case C-364/19,Case C-364/19 XU and Others v Credit Europe Ipotecar IFN and Credit Europe Bank,Request for a preliminary ruling from the Tribunalul Galaţi,Reference for a preliminary ruling – Article 99 of the Rules of Procedure of the Court of Justice – Consumer protection – Unfair terms – Directive 93/13/EEC – Article 1(2) – Exclusion from the scope of that directive of contractual terms which reflect mandatory provisions of national law – Article 4(2) – Exception to the assessment of whether a term is unfair – Credit agreement denominated in a foreign currency – Alleged infringement of the obligation of information borne by a seller or supplier – Examination to be carried out by the national court as a matter of priority in the light of Article 1(2),,,No,,,Yes,62019CO0364_SUM
Case C-108/20,Case C-108/20 HR v Finanzamt Wilmersdorf,Request for a preliminary ruling from the Finanzgericht Berlin-Brandenburg,"Reference for a preliminary ruling – Article 99 of the Rules of Procedure of the Court of Justice – Taxation – Value added tax (VAT) – Directive 2006/112/EC – Articles 167 and 168 – Right to deduct input VAT – Refusal – Tax evasion – Supply chain – Refusal of the right to deduct where the taxable person knew or should have known that, by his or her purchase, he or she was participating in a transaction connected to VAT fraud",,,No,,,Yes,62020CO0108_SUM
Case C-504/20 P,Case C-504/20 P Wagenknecht v European Council,,,,,No,,,Yes,62020CO0504_SUM
Joined Cases C-798/18 and C-799/18,Joined Cases C-798/18 and C-799/18 Federazione nazionale delle imprese elettrotecniche ed elettroniche (Anie) and Others and Athesia Energy Srl and Others v Ministero dello Sviluppo Economico and GSE,,,ECLI:EU:C:2021:280,62018CJ0798,Yes,Opinion of Advocate General Saugmandsgaard Øe delivered on 29 October 2020,ECLI:EU:C:2020:876,Yes,62018CJ0798_SUM
Case C-30/19,Case C-30/19 Diskrimineringsombudsmannen v Braathens Regional Aviation,Request for a preliminary ruling from the Högsta domstolen,"Reference for a preliminary ruling – Equal treatment between persons irrespective of racial or ethnic origin – Directive 2000/43/EC – Article 7 – Protection of rights – Article 15 – Sanctions – Action for compensation based on an allegation of discrimination – Defendant acquiescing to claim for compensation without recognition on its part of the discrimination alleged – Connection between the compensation paid and the discrimination alleged – Article 47 of the Charter of Fundamental Rights of the European Union – Right to effective judicial protection – National procedural rules preventing the court seised from ruling on whether there was discrimination as alleged, despite the express request of the claimant",ECLI:EU:C:2021:269,62019CJ0030,Yes,Opinion of Advocate General Saugmandsgaard Øe delivered on 14 May 2020,ECLI:EU:C:2020:374,Yes,62019CJ0030_SUM
Case C-194/19,Case C-194/19 H. A. v  État belge (Circumstances subsequent to a transfer decision),Request for a preliminary ruling from the Conseil d'État,Reference for a preliminary ruling – Regulation (EU) No 604/2013 – Determination of the Member State responsible for examining an application for international protection – Article 27 – Remedy – Whether account should be taken of circumstances subsequent to the transfer decision – Effective judicial protection,ECLI:EU:C:2021:270,62019CJ0194,Yes,Opinion of Advocate General Rantos delivered on 2 February 2021,ECLI:EU:C:2021:85,Yes,62019CJ0194_SUM
Case C-221/19,Case C-221/19 AV (Aggregate sentence),Request for a preliminary ruling from the Sąd Okręgowy w Gdańsku,"Reference for a preliminary ruling – Judicial cooperation in criminal matters – Framework Decision 2008/909/JHA – Article 8(2) and (4): – Article 17(1) and (2) – Article 19 – Taking into account, for the purposes of an aggregate sentence, of a conviction delivered in another Member State, which must be enforced in the Member State in which that judgment is delivered – Conditions – Framework Decision 2008/675/JHA – Article 3(3) – Concept of ‘interference with a sentence or its execution’ which must be taken into account in the event of new criminal proceedings initiated in a Member State other than that in which the ruling was delivered",ECLI:EU:C:2021:278,62019CJ0221,Yes,Opinion of Advocate General Richard de la Tour delivered on 8 October 2020,ECLI:EU:C:2020:815,Yes,62019CJ0221_SUM
Case C-470/19,Case C-470/19 Friends of the Irish Environment v Commissioner for Environmental Information,Request for a preliminary ruling from the High Court (Irlande),"Reference for a preliminary ruling – Aarhus Convention – Directive 2003/4/EC – Right of access to environmental information held by public authorities – Article 2, point 2 – Notion of ‘public authority’ – Bodies or institutions when acting in a judicial or legislative capacity – Information in the file of closed court proceedings",ECLI:EU:C:2021:271,62019CJ0470,Yes,Opinion of Advocate General Bobek delivered on 3 December 2020,ECLI:EU:C:2020:986,Yes,62019CJ0470_SUM
Case C-511/19,Case C-511/19 AB v Olympiako Athlitiko Kentro Athinon,Request for a preliminary ruling from the Areios Pagos,Reference for a preliminary ruling – Social policy – Directive 2000/78/EC – Principle of equal treatment in employment and occupation – Prohibition of discrimination on grounds of age – Workers placed under a labour reserve system until termination of their contract of employment – Wage reduction and reduction or loss of severance pay – System applicable to public-sector workers close to full-time retirement – Reduction of public-sector wage costs – Article 6(1) – Legitimate social policy objective – Economic crisis,ECLI:EU:C:2021:274,62019CJ0511,Yes,Opinion of Advocate General Richard de la Tour delivered on 19 November 2020,ECLI:EU:C:2020:944,Yes,62019CJ0511_SUM
Case C-515/19,Case C-515/19 Eutelsat v ARCEP and Inmarsat Ventures,Request for a preliminary ruling from the Conseil d'État (France),Reference for a preliminary ruling – Approximation of laws – Telecommunications sector – Harmonised use of radio spectrum in the 2 GHz frequency bands for bringing into operation systems providing mobile satellite services – Decision No 626/2008/EC – Article 2(2)(a) and (b) – Article 4(1)(c)(ii) – Article 7(1) and (2) – Article 8(1) and (3) – Mobile satellite systems – Concept of ‘mobile earth station’ – Concept of ‘complementary ground components’ – Concept of ‘required quality’ – Respective role of satellite and ground components – Requirement for a selected operator of mobile satellite systems to provide service for a certain percentage of the population and territory – Non-compliance – Effect,ECLI:EU:C:2021:273,62019CJ0515,Yes,Opinion of Advocate General Saugmandsgaard Øe delivered on 12 November 2020,ECLI:EU:C:2020:922,Yes,62019CJ0515_SUM
Case C-593/19,Case C-593/19 SK Telecom v Finanzamt Graz-Stadt,"Request for a preliminary ruling from the Bundesfinanzgericht, Außenstelle Graz",Reference for a preliminary ruling – Value added tax (VAT) – Directive 2006/112/EC – Determination of the place of supply of telecommunications services – Roaming of third-country nationals on mobile communications networks within the European Union – Point (b) of the first paragraph of Article 59a – Option for Member States to transfer the place of supply of telecommunications services to their territory,ECLI:EU:C:2021:281,62019CJ0593,Yes,Opinion of Advocate General Saugmandsgaard Øe delivered on 22 October 2020,ECLI:EU:C:2020:851,Yes,62019CJ0593_SUM
Case C-729/19,Case C-729/19 TKF v Department of Justice for Northern Ireland,Request for a preliminary ruling from the Court of Appeal in Northern Ireland,Reference for a preliminary ruling – Judicial cooperation in civil matters – Recognition and enforcement of decisions in matters relating to maintenance obligations – Regulation (EC) No 4/2009 – Temporal scope – Article 75 – Decisions given by a court of a Member State prior to accession to the European Union,ECLI:EU:C:2021:275,62019CJ0729,Yes,Opinion of Advocate General Hogan delivered on 12 November 2020,ECLI:EU:C:2020:923,Yes,62019CJ0729_SUM
Case C-736/19,Case C-736/19 Plaukti,Request for a preliminary ruling from the Augstākā tiesa (Senāts),"Reference for a preliminary ruling – Agriculture – European agricultural fund for rural development (EAFRD) – Regulation (EC) No 1698/2005 – Regulation (EU) No 65/2011 – Third subparagraph of Article 16(5) – Regulation (EC) No 73/2009 – Articles 4 and 6 – Regulation (EC) No 1122/2009 – Support for rural development – Agri-environmental payments – Aid for the maintenance of grassland biodiversity – Non-compliance with the conditions for granting those payments – Early mowing – Reduction and exclusion of those payments – Mandatory standards – Statutory management requirements – Minimum requirements for good agricultural and environmental conditions – Commitments that exceed mandatory standards, minimum requirements and other appropriate mandatory requirements established by national legislation",ECLI:EU:C:2021:282,62019CJ0736,No,,,Yes,62019CJ0736_SUM
Case C-786/19,Case C-786/19 The North of England P & I Association v Bundeszentralamt für Steuern,Request for a preliminary ruling from the Finanzgericht Köln,Reference for a preliminary ruling – Direct insurance other than life assurance – Second Directive 88/357/EEC – Second indent of Article 2(d) – Directive 92/49/EEC – First subparagraph of Article 46(2) – Taxation of insurance premiums – Concept of ‘Member State where the risk is situated’ – Vehicles of any type – Concept of ‘Member State of registration’ – Insurance of sea-going vessels – Ships entered in the shipping register maintained by one Member State but flying the flag of another Member State or of a third State under a temporary flagging-out authorisation,ECLI:EU:C:2021:276,62019CJ0786,Yes,Opinion of Advocate General Rantos delivered on 27 January 2021,ECLI:EU:C:2021:67,Yes,62019CJ0786_SUM
Case C-846/19,"Case C-846/19 EQ v Administration de l'Enregistrement, des Domaines et de la TVA",Request for a preliminary ruling from the Tribunal d'arrondissement,Reference for a preliminary ruling – Value added tax (VAT) – Directive 2006/112/EC – Economic activity – Supply of services for consideration – Article 2(1)(c) and Article 9(1) – Exemptions – Article 132(1)(g) – Supply of services closely linked to welfare and social security work – Services performed by a lawyer under powers of representation for the protection of adults lacking legal capacity – Body recognised as being devoted to social wellbeing,ECLI:EU:C:2021:277,62019CJ0846,Yes,Opinion of Advocate General Pitruzzella delivered on 14 January 2021,ECLI:EU:C:2021:17,Yes,62019CJ0846_SUM
Case C-935/19,Case C-935/19 Grupa Warzywna v Dyrektor Izby Administracji Skarbowej we Wrocławiu,Request for a preliminary ruling from the Wojewódzki Sąd Administracyjny we Wrocławiu,Reference for a preliminary ruling – Common system of value added tax (VAT) – Directive 2006/112/EC – Article 273 – Overstatement in the tax return of the amount of the refund of VAT – Error of assessment by the taxable person concerning the taxable nature of a transaction – Correction of the tax return following an audit – Penalty of an amount equal to 20% of the overstated VAT reimbursement – Principle of proportionality,ECLI:EU:C:2021:287,62019CJ0935,No,,,Yes,62019CJ0935_SUM
Case C-53/20,Case C-53/20 Hengstenberg v Spreewaldverein,Request for a preliminary ruling from the Bundesgerichtshof,Reference for a preliminary ruling – Protection of geographical indications and designations of origin for agricultural products and foodstuffs – Regulation (EU) No 1151/2012 – First subparagraph of Article 49(3) and second subparagraph of Article 49(4) – First subparagraph of Article 53(2) – Amendment to a product specification – Spreewald gherkins (Germany) ‘Spreewälder Gurken (PGI)’ – Amendments which are not minor – Opposition proceedings – Statement of opposition to the amendment application – Appeal against the decision granting that application – Concept of ‘legitimate interest’,ECLI:EU:C:2021:279,62020CJ0053,No,,,Yes,62020CJ0053_SUM
Case C-62/20,Case C-62/20 Vogel Import Export v Belgische Staat,Request for a preliminary ruling from the Nederlandstalige rechtbank van eerste aanleg Brussel,Reference for a preliminary ruling – Regulation (EEC) No 2658/87 – Customs union – Common Customs Tariff – Tariff classification – Combined Nomenclature – Tariff headings – Headings 4407 and 4409 – Planed wooden boards the four corners of which have been slightly rounded over the entire length of the board,ECLI:EU:C:2021:288,62020CJ0062,No,,,Yes,62020CJ0062_SUM
Case C-594/20,Case C-594/20 Kuluttaja-asiamies v MiGame Oy,Request for a preliminary ruling from the Markkinaoikeus,"Reference for a preliminary ruling – Article 99 of the Rules of Procedure of the Court of Justice – Directive 2011/83/EU – Consumer contracts – Article 21 – ‘Communication by telephone’ – Telephone line operated by a trader so that consumers may contact it for matters relating to a previously concluded contract – Provision by a company, as part of the after-sales service for previously concluded contracts, of two telephone lines, namely a premium-rate landline and a mobile telephone line that is free of charge – Media content targeted at customers – Acceptability of a helpline which charges customers at a rate exceeding the basic rate – Concept of ‘basic rate’",,,No,,,Yes,62020CO0594_SUM
Case C-896/19,Case C-896/19 Repubblika v Il-Prim Ministru,Request for a preliminary ruling from the Qorti Ċivili Prim’Awla - Ġurisdizzjoni Kostituzzjonali,Reference for a preliminary ruling – Article 2 TEU – Values of the European Union – Rule of law – Article 49 TEU – Accession to the European Union – No reduction in the level of protection of the values of the European Union – Effective judicial protection – Article 19 TEU – Article 47 of the Charter of Fundamental Rights of the European Union – Scope – Independence of the members of the judiciary of a Member State – Appointments procedure – Power of the Prime Minister – Involvement of a judicial appointments committee,ECLI:EU:C:2021:311,62019CJ0896,Yes,Opinion of Advocate General Hogan delivered on 17 December 2020,ECLI:EU:C:2020:1055,Yes,62019CJ0896_SUM
Case C-572/18 P,Case C-572/18 P thyssenkrupp Electrical Steel and thyssenkrupp Electrical Steel Ugo v Commission,,,ECLI:EU:C:2021:317,62018CJ0572,Yes,Opinion of Advocate General Hogan delivered on 26 November 2020,ECLI:EU:C:2020:973,Yes,62018CJ0572_SUM
Case C-46/19 P,Case C-46/19 P Council v PKK,,,ECLI:EU:C:2021:316,62019CJ0046,No,,,Yes,62019CJ0046_SUM
Case C-485/19,Case C-485/19 LH v Profi Credit Slovakia,Request for a preliminary ruling from the Krajský súd v Prešove,Reference for a preliminary ruling – Consumer protection – Directive 2008/48/EC – Credit agreements for consumers – Directive 93/13/EEC – Unfair contract terms – Payment made under an unlawful term – Unjust enrichment of the lender – Right to restitution time-barred – Principles of Union law – Principle of effectiveness – Article 10(2) of Directive 2008/48 – Information to be included in a credit agreement – Elimination of certain national requirements on the basis of the case-law of the Court – Interpretation of the old version of the national legislation in accordance with that case-law – Temporal effects,ECLI:EU:C:2021:313,62019CJ0485,Yes,Opinion of Advocate General Szpunar delivered on 3 September 2020,ECLI:EU:C:2020:645,Yes,62019CJ0485_SUM
Case C-537/19,Case C-537/19 Commission v Austria (Lease of a building not yet constructed),,,ECLI:EU:C:2021:319,62019CJ0537,Yes,Opinion of Advocate General Campos Sánchez-Bordona delivered on 22 October 2020,ECLI:EU:C:2020:850,Yes,62019CJ0537_SUM
Case C-703/19,Case C-703/19 J.K. v Dyrektor Izby Administracji Skarbowej w Katowicach,Request for a preliminary ruling from the Naczelny Sąd Administracyjny,"Reference for a preliminary ruling – Taxation – Common system of value added tax (VAT) – Directive 2006/112/EC – Article 98(2) – Option for Member States to apply one or two reduced VAT rates to certain supplies of goods and services – Classification of a commercial activity as ‘provision of services’ – Annex III, point 12a – Implementing regulation (EU) No 282/2011 – Article 6 – Concept of ‘restaurant and catering services’ – Meals ready for immediate consumption on the vendor’s premises or in a catering area – Meals ready for immediate consumption to be taken away",ECLI:EU:C:2021:314,62019CJ0703,Yes,Opinion of Advocate General Richard de la Tour delivered on 12 November 2020,ECLI:EU:C:2020:921,Yes,62019CJ0703_SUM
Case C-826/19,Case C-826/19 WZ v Austrian Airlines,Request for a preliminary ruling from the Landesgericht Korneuburg,"Reference for a preliminary ruling – Air transport – Compensation and assistance to passengers in the event of denied boarding and of cancellation or long delay of flights – Regulation (EC) No 261/2004 – Article 6 – Delayed flight – Article 8(3) – Diversion of a flight to an airport serving the same town, city or region – Concept of ‘cancellation’ – Extraordinary circumstances – Compensation to passengers in the event of cancellation or long delay of flights in arrival – Obligation to bear the cost of transferring passengers from the actual airport of arrival to the airport for which the booking was made",ECLI:EU:C:2021:318,62019CJ0826,Yes,Opinion of Advocate General Pikamäe delivered on 3 December 2020,ECLI:EU:C:2020:991,Yes,62019CJ0826_SUM
Case C-73/20,Case C-73/20 ZM v E. A. Frerichs,Request for a preliminary ruling from the Bundesgerichtshof,Reference for a preliminary ruling – Regulation (EC) No 1346/2000 – Insolvency proceedings – Article 4 – Law applicable to insolvency proceedings – Law of the Member State within the territory of which the proceedings are opened – Article 13 – Acts detrimental to all the creditors – Exception – Conditions – Act subject to the law of a Member State other than the State of the opening of proceedings – Act which is not open to challenge on the basis of that law – Regulation (EC) No 593/2008 – Law applicable to contractual obligations – Article 12(1)(b) – Scope of the law applicable to the contract – Performance of the obligations arising from the contract – Payment made in performance of a contract subject to the law of a Member State other than the State of the opening of proceedings – Performance by a third party – Action for repayment of that payment in insolvency proceedings – Law applicable to that payment,ECLI:EU:C:2021:315,62020CJ0073,No,,,Yes,62020CJ0073_SUM
Case C-75/20,Case C-75/20 Lifosa v Muitinėsdepartamentas prie Lietuvos Respublikos finansų ministerijos,Request for a preliminary ruling from the Lietuvos vyriausiasis administracinis teismas,Reference for a preliminary ruling – Customs union – Community Customs Code – Regulation (EEC) No 2913/92 – Article 29(1) – Article 32(1)(e)(i) – Union Customs Code – Regulation (EU) No 952/2013 – Article 70(1) – Article 71(1)(e)(i) – Determination of the customs value – Transaction value – Adjustment – Price including delivery at the border,ECLI:EU:C:2021:320,62020CJ0075,No,,,Yes,62020CJ0075_SUM
Joined Cases C-294/19 and C-304/19,Joined Cases C-294/19 and C-304/19 Agenţia de Plăţi şi Intervenţie pentru Agricultură v Piscicola Tulcea and Ira Invest v Agenţia de Plăţi şi Intervenţie pentru Agricultură,,,ECLI:EU:C:2021:340,62019CJ0294,No,,,Yes,62019CJ0294_SUM
Case C-383/19,Case C-383/19 Powiat Ostrowski v Ubezpieczeniowy Fundusz Gwarancyjny z siedzibą,Request for a preliminary ruling from the Sąd Rejonowy w Ostrowie Wielkopolskim,"Reference for a preliminary ruling – Compulsory insurance against civil liability in respect of the use of motor vehicles – Directive 2009/103/EC – Article 3, first paragraph – Obligation to take out a contract of insurance – Scope – Local government authority which has acquired a vehicle by judicial means – Registered vehicle which is on private land and intended to be destroyed",ECLI:EU:C:2021:337,62019CJ0383,Yes,Opinion of Advocate General Bobek delivered on 8 December 2020,ECLI:EU:C:2020:1003,Yes,62019CJ0383_SUM
Case C-480/19,Case C-480/19 Proceedings brought by E (Income paid by UCITS),Request for a preliminary ruling from the Korkein hallinto-oikeus,Reference for a preliminary ruling – Article 63 TFEU – Free movement of capital – Income tax – Income from capital – Income distributed by a resident undertaking for collective investment in transferable securities (UCITS) constituted in accordance with contract law – Income distributed by a UCITS established in another Member State and constituted in accordance with statute – Difference in treatment – Article 65 TFEU – Objectively comparable situations,ECLI:EU:C:2021:334,62019CJ0480,Yes,Opinion of Advocate General Hogan delivered on 19 November 2020,ECLI:EU:C:2020:942,Yes,62019CJ0480_SUM
Case C-504/19,Case C-504/19 Banco de Portugal and Others v VR,Request for a preliminary ruling from the Tribunal Supremo,"Reference for a preliminary ruling – Banking supervision – Reorganisation and winding up of credit institutions – Directive 2001/24/EC – Reorganisation measure adopted by an administrative authority in the home Member State of a credit institution – Transfer of rights, assets or liabilities to a ‘bridge institution’ – Transfer back to the credit institution subject to the reorganisation measure – Article 3(2) – Lex concursus – Effect of a reorganisation measure in other Member States – Mutual recognition – Article 32 – Effects of a reorganisation measure on a pending lawsuit – Exception to the application of the lex concursus – Article 47, first paragraph, of the Charter of Fundamental Rights of the European Union – Effective judicial protection – Principle of legal certainty",ECLI:EU:C:2021:335,62019CJ0504,Yes,Opinion of Advocate General Kokott delivered on 19 November 2020,ECLI:EU:C:2020:943,Yes,62019CJ0504_SUM
